Wall time,Step,Value
1720303406.2033973,20848,143.0
1720303407.0585055,21080,281.0
1720303407.0983968,21088,221.0
1720303409.097422,21640,221.0
1720303409.7374763,21816,210.0
1720303410.8605425,22128,131.0
1720303411.077194,22184,137.0
1720303411.1467612,22200,204.0
1720303411.7599368,22360,189.0
1720303806.3518958,22568,266.0
1720303808.2573676,23128,164.0
1720303808.320099,23144,127.0
1720303809.1688285,23392,149.0
1720303809.205377,23400,130.0
1720303809.298888,23424,141.0
1720303809.9103696,23600,129.0
1720303810.9108071,23888,213.0
1720303811.0332873,23920,285.0
1720303813.7050364,24680,192.0
1720303813.7954586,24704,163.0
1720303813.831996,24712,165.0
1720303814.3064747,24848,215.0
1720303815.147071,25080,185.0
1720303815.6270514,25216,162.0
1720303816.1000226,25352,241.0
1720304217.9838328,25656,221.0
1720304221.102804,26544,212.0
1720304221.2599847,26584,154.0
1720304221.3912256,26616,175.0
1720304221.6286588,26680,246.0
1720304222.095972,26816,267.0
1720304222.6309872,26968,141.0
1720304224.157261,27416,292.0
1720304224.8536625,27616,134.0
1720304226.1433418,27992,172.0
1720304226.1803503,28000,129.0
1720304226.216712,28008,166.0
1720304227.7154737,28432,202.0
1720304228.061344,28528,139.0
1720304228.5858896,28680,262.0
1720304228.877354,28760,224.0
1720304616.9904459,29016,128.0
1720304619.351438,29704,261.0
1720304619.8385165,29840,145.0
1720304620.9901435,30168,205.0
1720304621.627387,30352,240.0
1720304622.548065,30616,327.0
1720304622.775631,30680,182.0
1720304622.8128514,30688,209.0
1720304623.5274947,30888,131.0
1720304624.695339,31224,179.0
1720304624.7313695,31232,133.0
1720304625.115266,31336,204.0
1720304627.2064915,31944,158.0
1720305016.910504,33024,128.0
1720305017.1585712,33080,135.0
1720305017.2700598,33104,138.0
1720305018.724429,33432,179.0
1720305019.0669413,33504,188.0
1720305019.5934398,33624,203.0
1720305019.877176,33688,211.0
1720305021.4772854,34048,128.0
1720305022.6245184,34320,152.0
1720305023.9923847,34624,186.0
1720305024.7333806,34792,138.0
1720305025.4173827,34960,191.0
1720305025.522725,34984,185.0
1720305026.106019,35120,255.0
1720305026.314502,35168,140.0
1720305724.7791197,35272,206.0
1720305727.0124419,35792,184.0
1720305727.430882,35888,137.0
1720305727.6492538,35936,164.0
1720305729.635698,36400,141.0
1720305729.6796932,36408,181.0
1720305730.0281363,36488,165.0
1720305730.401143,36576,199.0
1720305731.5349457,36832,130.0
